問題番号,問題文,選択肢1(正解),選択肢2,選択肢3,選択肢4,画像
1,eraser,消しゴム,鉛筆,ノート,定規,
2,pen,ペン,消しゴム,本,机,
3,apple,リンゴ,バナナ,オレンジ,メロン,
4,desk,机,椅子,本棚,黒板,
5,pencil,えんぴつ,消しゴム,ノート,定規,
6,boy,男の子，少年,女の子,先生,友達,
7,window,窓,ドア,壁,天井,
8,bed,ベッド,机,椅子,ソファ,
9,orange,オレンジ,リンゴ,バナナ,メロン,
10,book,本,ノート,鉛筆,消しゴム,
11,girl,女の子，少女,男の子,先生,友達,
12,cat,ネコ,犬,鳥,魚,
13,cup,カップ，茶わん,グラス,ボトル,お皿,
14,bag,かばん，バッグ,本,ノート,鉛筆,
15,dog,犬,猫,鳥,魚,
16,chair,いす,机,ベッド,ソファ,
17,ball,ボール,バット,ラケット,ネット,
18,notebook,ノート,本,鉛筆,消しゴム,
19,one,１(の),2(の),3(の),4(の),
20,two,２(の),1(の),3(の),4(の),
21,three,３(の),1(の),2(の),4(の),
22,four,４(の),1(の),2(の),3(の),
23,five,５(の),1(の),2(の),3(の),
24,six,６(の),1(の),2(の),3(の),
25,seven,７(の),1(の),2(の),3(の),
26,eight,８(の),1(の),2(の),3(の),
27,nine,９(の),1(の),2(の),3(の),
28,ten,１０(の),1(の),2(の),3(の),
29,eleven,１１(の),1(の),2(の),3(の),
30,twelve,１２(の),1(の),2(の),3(の),
31,milk,牛乳，ミルク,水,ジュース,お茶,
32,egg,卵,パン,バター,チーズ,
33,cake,ケーキ,パン,クッキー,チョコレート,
34,table,テーブル,椅子,机,ベッド,
35,ink,インク,鉛筆,消しゴム,ノート,
36,apron,エプロン,帽子,手袋,靴下,
37,map,地図,本,ノート,カレンダー,
38,cap,（ふちのない）ぼうし,（ふちのある）ぼうし,手袋,靴下,
39,hat,（ふちのある）ぼうし,（ふちのない）ぼうし,手袋,靴下,
40,umbrella,かさ,帽子,手袋,靴下,
41,box,箱,袋,かばん,バッグ,
42,tree,木,花,草,葉,
43,yard,庭,公園,道,広場,
44,bike,自転車,車,バス,電車,
45,house,家,学校,病院,店,
46,unicycle,一輪車,自転車,バイク,車,
47,flower,花,木,草,葉,
48,baseball,野球,サッカー,テニス,バスケットボール,
49,soccer,サッカー,野球,テニス,バスケットボール,
50,tennis,テニス,野球,サッカー,バスケットボール,
51,badminton,バドミントン,テニス,卓球,バレーボール,
52,basketball,バスケットボール,野球,サッカー,テニス,
53,uniform,ユニフォーム,帽子,手袋,靴下,
54,volleyball,バレーボール,野球,サッカー,テニス,
55,gym,体育館,教室,図書館,音楽室,
56,music,音楽,美術,体育,理科,
57,guitar,ギター,ピアノ,バイオリン,ドラム,
58,piano,ピアノ,ギター,バイオリン,ドラム,
59,violin,バイオリン,ギター,ピアノ,ドラム,
60,father,父,母,姉,妹,
61,mother,母,父,姉,妹,
62,brother,兄,弟,父,母,
63,sister,姉,妹,母,父,
64,rabbit,ウサギ,犬,猫,魚,
65,koala,コアラ,ウサギ,ネコ,ドラム,
66,bird,鳥,猫,魚,ウサギ,
67,elephant,ゾウ,象,犬,ネコ,
68,tiger,トラ,ゾウ,ネコ,象,
69,lion,ライオン,ゾウ,トラ,象,
70,fox,キツネ,犬,猫,象,
71,zoo,動物園,動物,公園,広場,
72,Sunday,日曜日,月曜日,土曜日,祝日,
73,Monday,月曜日,日曜日,火曜日,祝日,
74,Tuesday,火曜日,月曜日,水曜日,祝日,
